productPriceLocal,productId,productName,productCategoryId,productCategoryName,productVendorName,productGroupId,Location,eventPosition
46990.00,30030151,Смартфон Apple iPhone 8 64GB Space Gray  (MQ6G2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,1
46990.00,30030153,Смартфон Apple iPhone 8 64GB Gold (MQ6J2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,2
46990.00,30036646,Смартфон Apple iPhone 8 (PRODUCT)RED Special Edition 64Gb ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,3
46990.00,30030152,Смартфон Apple iPhone 8 64GB Silver (MQ6H2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,4
56990.00,30030155,Смартфон Apple iPhone 8 256GB Silver (MQ7D2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,5
56990.00,30036647,Смартфон Apple iPhone 8 (PRODUCT)RED Special Edition 256Gb ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,6
22990.00,30040196,Apple IPhone Apple iPhone 6s Plus 16Gb Rose Gold (FKU52RU/A) восст. ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,1
26990.00,30040197,Apple IPhone Apple iPhone 6s Plus 32Gb Rose Gold (FN2Y2RU/A) восст. ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,2
29990.00,30040198,Apple IPhone Apple iPhone 6s Plus 64Gb Rose Gold (FKU92RU/A) восст. ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,3
26990.00,30040193,Apple IPhone Apple iPhone 6s Plus 32Gb Gold (FN2X2RU/A) восст. ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,4
32990.00,30040195,Apple IPhone Apple iPhone 6s Plus 128Gb Gold (FKUF2RU/A) восст. ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,5
32990.00,30040199,Apple IPhone Apple iPhone 6s Plus 128Gb Rose Gold (FKUG2RU/A) восст. ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,6
32990.00,30032520,Смартфон Apple iPhone 6S+ 128Gb Space Gray (FKUD2RU/A) восст. ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultSecondPartBlock,1
41990.00,30023533,Смартфон Apple iPhone 6s Plus 128GB Silver (MKUE2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultSecondPartBlock,2
29990.00,30040194,Apple IPhone Apple iPhone 6s Plus 64Gb Gold (FKU82RU/A) восст. ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultSecondPartBlock,3
41990.00,30023534,Смартфон Apple iPhone 6s Plus 128GB Gold (MKUF2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultSecondPartBlock,4
41990.00,30023535,Смартфон Apple iPhone 6s Plus 128GB Rose Gold (MKUG2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultSecondPartBlock,5
33990.00,30026286,Смартфон Apple iPhone 6s Plus 32GB Space Gray (MN2V2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultSecondPartBlock,6
29990.00,30026282,Смартфон Apple iPhone 6s 32GB Space Gray (MN0W2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,1
29990.00,30026285,Смартфон Apple iPhone 6s 32GB Rose Gold (MN122RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,2
24990.00,30040192,Apple IPhone Apple iPhone 6s 64Gb Rose Gold (FKQR2RU/A) восст. ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,3
24990.00,30038658,Смартфон Apple iPhone 6s 64GB Silver (FKQP2RU/A) восст. ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,4
29990.00,30026284,Смартфон Apple iPhone 6s 32GB Gold (MN112RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,5
24990.00,30031561,Смартфон Apple iPhone 6S 64Gb Space Gray (FKQN2RU/A) восст. ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,6
29990.00,30026283,Смартфон Apple iPhone 6s 32GB Silver (MN0X2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultSecondPartBlock,1
22990.00,30040190,Apple IPhone Apple iPhone 6s 16Gb Rose Gold (FKQM2RU/A) восст. ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultSecondPartBlock,2
25990.00,30040191,Apple IPhone Apple iPhone 6s 32Gb Rose Gold (FN122RU/A) восст. ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultSecondPartBlock,3
25990.00,30031560,Смартфон Apple iPhone 6S 32Gb Space Gray (FN0W2RU/A) восст. ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultSecondPartBlock,4
29990.00,30038659,Apple IPhone Apple iPhone 6s 128GB Space Gray (FKQT2RU/A) восст. ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultSecondPartBlock,5
29990.00,30038660,Смартфон Apple iPhone 6s 128GB Silver (FKQU2RU/A) восст. ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultSecondPartBlock,6
21990.00,30028155,Смартфон Apple iPhone 6 32GB Space Gray (MQ3D2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,1
21990.00,30036781,Смартфон Apple iPhone 6 32GB Gold (MQ3E2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,2
19945.00,30024528,Смартфон Apple iPhone 6 16GB Silver (FG482RU/A) восстановленный ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,3
27995.00,30020955,Смартфон Apple iPhone 6 16GB Gold (MG492RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,4
55490.00,30030157,Смартфон Apple iPhone 8 Plus 64GB Space Gray (MQ8L2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,1
55490.00,30030159,Смартфон Apple iPhone 8 Plus 64GB Gold (MQ8N2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,2
